id,name,source_ref,description,type_dims,level_dims,basis_dims,environment_dims,mode_dims,physicality_dims,cognitive_dims
c9068848-3672-5883-860d-eaa8ec689723,Administration and Management,2.C.1.a,,Business,Expert|Advanced|Intermediate,Academic|Professional Development,,,,
519f0caf-3ab6-5a04-86ac-9a82f34ce841,Economics and Accounting,2.C.1.c,,Business,Advanced|Intermediate,Academic|Professional Development,,,,
ae971303-985b-5820-9745-811be10a04db,Sales and Marketing,2.C.1.d,,Business,Advanced|Expert|Intermediate,Academic|Professional Development,,,,
2626f04a-0d19-57df-9a73-390b20b77f61,Customer and Personal Service,2.C.1.e,,Business,Advanced|Intermediate|Expert,Academic|Professional Development,,,,
3db9e8cf-29ac-5cf2-9c2d-c9a01ffeed7e,Personnel and Human Resources,2.C.1.f,,Business,Advanced|Intermediate|Expert,Academic|Professional Development,,,,
9a8b7463-08ee-5eb6-b6a6-0ed3309eb058,Computers and Electronics,2.C.3.a,,Technical,Advanced|Intermediate|Expert,Academic|Professional Development,,,,
255269db-3989-53e6-bfc7-891130ae86b8,Engineering and Technology,2.C.3.b,,Technical,Intermediate|Advanced|Expert,Academic|Professional Development,,,,
f5a1027d-aee5-5b96-a97a-409605db3879,Mathematics,2.C.4.a,,Technical,Advanced|Intermediate|Expert,Academic|Professional Development,,,,
efc1504c-9d57-50da-b648-e2b8f59f4639,Psychology,2.C.4.e,,Technical,Intermediate|Advanced|Expert,Academic|Professional Development,,,,
8f8e6a45-075f-5458-a58e-177f6365cdfe,Education and Training,2.C.6,,Social,Advanced|Intermediate|Expert,Academic|Professional Development,,,,
3f942fb6-9421-5786-a0eb-8bb4f7e2d2f1,English Language,2.C.7.a,,Social,Intermediate|Advanced|Expert|Basic,Academic|Professional Development,,,,
7de724f2-adee-5a67-a01a-c341185b298e,Public Safety and Security,2.C.8.a,,Safety,Intermediate|Advanced|Basic,Academic|Professional Development,,,,
02d10e58-4802-5bca-ae8a-f2d6e0dc0eae,Law and Government,2.C.8.b,,Safety,Intermediate|Advanced|Expert|Basic,Academic|Professional Development,,,,
9c21c5c5-7037-519b-9763-47157229fb63,Communications and Media,2.C.9.b,,Social,Intermediate|Advanced|Expert,Academic|Professional Development,,,,
2d01d526-00f4-5d1f-9333-c2797e537d69,Building and Construction,2.C.3.d,,Technical,Intermediate|Advanced|Expert,Academic|Professional Development,,,,
f2b3a622-2916-5ce9-8495-b3fc727252e4,Sociology and Anthropology,2.C.4.f,,Technical,Intermediate|Advanced|Expert,Academic|Professional Development,,,,
b2f82926-6cd6-554d-a7fb-16ffe880f0da,Geography,2.C.4.g,,Technical,Advanced|Intermediate|Expert,Academic|Professional Development,,,,
41adb0f0-ef39-5f64-a516-fb7c33707396,Transportation,2.C.10,,Business,Intermediate|Advanced|Expert,Academic|Professional Development,,,,
d9167207-dbbf-5ad5-88b9-a2b0927cdd41,Administrative,2.C.1.b,,Business,Intermediate|Advanced|Expert,Academic,,,,
22a4aa4c-c627-5902-a960-b8ba71db4c53,Production and Processing,2.C.2.a,,Technical,Advanced|Intermediate,Academic,,,,
494551e8-2627-518e-91bd-04762b8dfa04,Design,2.C.3.c,,Technical,Intermediate|Advanced|Expert,Academic,,,,
21449922-77cf-5b9a-8e1a-c7a61add42d4,Mechanical,2.C.3.e,,Technical,Intermediate|Advanced|Expert,On-the-Job Training|Vocational Training,,,,
264945db-4c4a-592f-8df9-775162d06d7c,Telecommunications,2.C.9.a,,Social,Intermediate|Advanced|Basic,Academic,,,,
4d1d134e-704b-5dd5-82eb-e074bb1fff13,Chemistry,2.C.4.c,,Technical,Advanced|Intermediate|Expert,Academic,,,,
3bd8c1d7-59eb-5505-a2d9-a6fba10b3bde,Physics,2.C.4.b,,Technical,Advanced|Intermediate|Expert,On-the-Job Training|Vocational Training,,,,
19da43f4-d782-581a-8d2d-ec88d67d3045,Food Production,2.C.2.b,,Technical,Intermediate|Advanced,Academic,,,,
cffad633-bcec-51d4-8c10-57ba4b1b64d2,Biology,2.C.4.d,,Technical,Advanced|Intermediate|Expert,Academic,,,,
110cf441-6ff6-5ed3-acf1-06fa771f03f9,Medicine and Dentistry,2.C.5.a,,Safety,Intermediate|Advanced|Expert,Academic,,,,
940c6df8-33c7-56c6-b317-6451c77c0ad1,Therapy and Counseling,2.C.5.b,,Safety,Advanced|Expert|Intermediate,Academic,,,,
69952d1b-4b91-520c-8cf0-21dc294df6a6,Fine Arts,2.C.7.c,,Social,Intermediate|Advanced|Expert,Academic,,,,
267c1a98-d5e5-57f5-b8cc-4af1c5546737,Foreign Language,2.C.7.b,,Social,Intermediate|Advanced|Expert,On-the-Job Training,,,,
ecd7c9bc-b2ba-5f76-b37f-b2aefd22c556,History and Archeology,2.C.7.d,,Social,Advanced|Intermediate|Expert,Academic,,,,
c985c008-df5a-5f61-a3a9-b300294e2843,Philosophy and Theology,2.C.7.e,,Social,Advanced|Intermediate|Expert,Academic|Professional Development,,,,
